objectnummer,leeftijd,soort,plantjaar,stamdiameter,hoogte,monumentaal,beplantingssituatie,locatie,eigenaar,stadsdeel,lon,lat
15143,_0_30,Ulmus `Rebona`,,0 - 20 cm,,,,,Boombeheer,Noord,4.921349,52.390165
15144,_0_30,Ulmus `Dodoens`,1970,20 - 30 cm,,,Gras,,Boombeheer,Noord,4.921149,52.410194
15145,_0_30,Ulmus `Dodoens`,1940,0 - 20 cm,,,Gras,,Boombeheer,Noord,4.921306,52.397325
15146,_0_30,Ulmus `Dodoens`,2009,0 - 20 cm,,,Gras,,Boombeheer,Noord,4.921331,52.395494
15149,_0_30,Ulmus `New Horizon`,,0 - 20 cm,,,,,Boombeheer,Noord,4.921399,52.390545
15151,_0_30,Ulmus `New Horizon`,,0 - 20 cm,,,,,Boombeheer,Noord,4.921435,52.389829
15154,_0_30,Ulmus `Dodoens`,2009,0 - 20 cm,,,Gras,,Boombeheer,Noord,4.921386,52.395606
15155,_0_30,Ulmus `Dodoens`,2003,20 - 30 cm,,,Gras,,Boombeheer,Noord,4.921244,52.410369
15156,_0_30,Ulmus `Rebona`,,0 - 20 cm,,,,,Boombeheer,Noord,4.921456,52.39032
15158,_0_30,Ulmus `Rebona`,,0 - 20 cm,,,,,Boombeheer,Noord,4.921465,52.390608
15159,_0_30,Ulmus `New Horizon`,,0 - 20 cm,,,,,Boombeheer,Noord,4.921469,52.39038
15161,_0_30,Ulmus `New Horizon`,,0 - 20 cm,,,,,Boombeheer,Noord,4.921483,52.390252
15163,_0_30,Ulmus `Dodoens`,,0 - 20 cm,,,,,Boombeheer,Noord,4.921424,52.397193
15164,_0_30,Ulmus `Rebona`,,0 - 20 cm,,,,,Boombeheer,Noord,4.921494,52.390451
15165,_0_30,Ulmus `Dodoens`,,0 - 20 cm,,,,,Boombeheer,Noord,4.921461,52.395752
15167,_0_30,Ulmus `Rebona`,,0 - 20 cm,,,,,Boombeheer,Noord,4.921527,52.390175
15170,_0_30,Ulmus `Dodoens`,2003,20 - 30 cm,,,Gras,,Boombeheer,Noord,4.921327,52.410185
15171,_0_30,Ulmus `New Horizon`,,0 - 20 cm,,,,,Boombeheer,Noord,4.921543,52.390552
15172,_0_30,Ulmus `Lobel`,1998,0 - 20 cm,,,Klinkers,,Boombeheer,Noord,4.921616,52.383997
15173,_0_30,Ulmus `New Horizon`,,0 - 20 cm,,,,,Boombeheer,Noord,4.921573,52.390076
15175,_0_30,Ulmus `Lobel`,,0 - 20 cm,,,,,Boombeheer,Noord,4.921596,52.390298
15177,_0_30,Ulmus `Dodoens`,2003,20 - 30 cm,,,Gras,,Boombeheer,Noord,4.9214,52.409808
15178,_0_30,Ulmus `Dodoens`,,0 - 20 cm,,,,,Boombeheer,Noord,4.921535,52.397096
15179,_0_30,Ulmus `Lobel`,,0 - 20 cm,,,,,Boombeheer,Noord,4.921608,52.390221
15180,_0_30,Ulmus `Dodoens`,2006,0 - 20 cm,,,Gras,,Boombeheer,Noord,4.921559,52.395885
15181,_0_30,Ulmus `Dodoens`,1995,20 - 30 cm,,,Gras,,Boombeheer,Noord,4.921558,52.396143
15183,_0_30,Ulmus `Lobel`,,0 - 20 cm,,,,,Boombeheer,Noord,4.921621,52.390408
15184,_0_30,Ulmus `Lobel`,1998,0 - 20 cm,,,Tegels,,Boombeheer,Noord,4.92169,52.38414
15189,_0_30,Ulmus `Lobel`,,0 - 20 cm,,,,,Boombeheer,Noord,4.92167,52.390497
15191,_0_30,Ulmus `Dodoens`,2006,0 - 20 cm,,,Gras,,Boombeheer,Noord,4.921621,52.396025
15192,_0_30,Ulmus `Dodoens`,2000,0 - 20 cm,,,Heesters,,Boombeheer,Noord,4.921652,52.396963
15193,_0_30,Ulmus `Lobel`,,0 - 20 cm,,,,,Boombeheer,Noord,4.921723,52.390612
15194,_0_30,Ulmus `Lobel`,,0 - 20 cm,,,,,Boombeheer,Noord,4.921727,52.390692
15196,_0_30,Ulmus `Lobel`,,0 - 20 cm,,,,,Boombeheer,Noord,4.921739,52.390283
15197,_0_30,Ulmus `Plantijn`,1995,20 - 30 cm,,,Heesters,,Boombeheer,Noord,4.921675,52.396365
15198,_0_30,Ulmus `Dodoens`,1940,0 - 20 cm,,,Gras,,Boombeheer,Noord,4.92168,52.396147
15199,_0_30,Ulmus `Lobel`,,0 - 20 cm,,,,,Boombeheer,Noord,4.92176,52.390353
15200,_0_30,Ulmus `Dodoens`,1995,20 - 30 cm,,,Heesters,,Boombeheer,Noord,4.921697,52.39648
15203,_0_30,Ulmus `Dodoens`,2002,0 - 20 cm,,,Gras,,Boombeheer,Noord,4.921729,52.396828
15204,_0_30,Ulmus `Dodoens`,2000,0 - 20 cm,,,Gras,,Boombeheer,Noord,4.921739,52.39628
15205,_0_30,Ulmus `Lobel`,,0 - 20 cm,,,,,Boombeheer,Noord,4.921797,52.390772
15206,_0_30,Ulmus `Lobel`,,0 - 20 cm,,,,,Boombeheer,Noord,4.921826,52.390447
15207,_0_30,Ulmus `Lobel`,,0 - 20 cm,,,,,Boombeheer,Noord,4.921839,52.390836
15208,_0_30,Ulmus `Lobel`,1998,0 - 20 cm,,,Klinkers,,Boombeheer,Noord,4.92191,52.384162
15209,_0_30,Ulmus `Dodoens`,2002,0 - 20 cm,,,Gras,,Boombeheer,Noord,4.921792,52.39671
15210,_0_30,Ulmus `Dodoens`,2000,0 - 20 cm,,,Gras,,Boombeheer,Noord,4.921798,52.396413
15212,_0_30,Ulmus `Lobel`,,0 - 20 cm,,,,,Boombeheer,Noord,4.921875,52.390545
15213,_0_30,Ulmus `Dodoens`,2000,0 - 20 cm,,,Gras,,Boombeheer,Noord,4.921814,52.396545
15214,_0_30,Ulmus x hol. `Vegeta`,2003,0 - 20 cm,,,Gras,,Boombeheer,Noord,4.921863,52.393116
15215,_0_30,Ulmus minor,,0 - 20 cm,,,,,Onderwijs,Noord,4.921688,52.410408
15218,_0_30,Ulmus `Lobel`,,0 - 20 cm,,,,,Boombeheer,Noord,4.921918,52.39092
15219,_0_30,Ulmus `Lobel`,,0 - 20 cm,,,,,Boombeheer,Noord,4.92193,52.390629
15221,_0_30,Ulmus `Lobel`,,0 - 20 cm,,,,,Boombeheer,Noord,4.921953,52.390695
15223,_0_30,Ulmus `Lobel`,,0 - 20 cm,,,,,Boombeheer,Noord,4.921978,52.390997
15224,_0_30,Ulmus `Lobel`,,0 - 20 cm,,,,,Boombeheer,Noord,4.921996,52.390778
15225,_0_30,Ulmus `Lobel`,1998,0 - 20 cm,,,Klinkers,,Boombeheer,Noord,4.92208,52.384183
15227,_0_30,Ulmus `Lobel`,,0 - 20 cm,,,,,Boombeheer,Noord,4.922042,52.390865
15228,_0_30,Ulmus `Lobel`,,0 - 20 cm,,,,,Boombeheer,Noord,4.922048,52.391076
15229,_0_30,Ulmus `Dodoens`,2003,0 - 20 cm,,,Gras,,Boombeheer,Noord,4.921877,52.410002
15230,_0_30,Ulmus `Lobel`,,0 - 20 cm,,,,,Boombeheer,Noord,4.922094,52.390948
15231,_0_30,Ulmus `Lobel`,,0 - 20 cm,,,,,Boombeheer,Noord,4.922104,52.391153
15234,_0_30,Ulmus `Lobel`,,0 - 20 cm,,,,,Boombeheer,Noord,4.922139,52.391028
15238,_0_30,Ulmus x hol. `Vegeta`,1975,20 - 30 cm,,,Klinkers,,Boombeheer,Noord,4.921937,52.412377
15239,_0_30,Ulmus `Lobel`,,0 - 20 cm,,,,,Boombeheer,Noord,4.922166,52.391237
15244,_0_30,Ulmus `Lobel`,1998,0 - 20 cm,,,Tegels,,Boombeheer,Noord,4.922265,52.384071
15249,_0_30,Ulmus `Lobel`,,0 - 20 cm,,,,,Boombeheer,Noord,4.92221,52.391109
15251,_0_30,Ulmus x hol. `Vegeta`,1975,20 - 30 cm,,,Klinkers,,Boombeheer,Noord,4.921996,52.412348
15254,_0_30,Ulmus `Lobel`,,0 - 20 cm,,,,,Boombeheer,Noord,4.922232,52.391316
15255,_0_30,Ulmus `Lobel`,,0 - 20 cm,,,,,Boombeheer,Noord,4.922256,52.390388
15259,_0_30,Ulmus `Lobel`,,0 - 20 cm,,,,,Boombeheer,Noord,4.922271,52.39119
15263,_0_30,Ulmus `Lobel`,,0 - 20 cm,,,,,Boombeheer,Noord,4.922279,52.39139
15264,_0_30,Ulmus x hol. `Vegeta`,1975,20 - 30 cm,,,Klinkers,,Boombeheer,Noord,4.922061,52.412319
15269,_0_30,Ulmus `Lobel`,,0 - 20 cm,,,,,Boombeheer,Noord,4.922323,52.391265
15270,_0_30,Ulmus `Lobel`,,0 - 20 cm,,,,,Boombeheer,Noord,4.922326,52.391462
15273,_0_30,Ulmus x hol. `Vegeta`,1975,20 - 30 cm,,,Klinkers,,Boombeheer,Noord,4.922135,52.412287
15275,_0_30,Ulmus `Lobel`,,0 - 20 cm,,,,,Boombeheer,Noord,4.922372,52.391334
15277,_0_30,Ulmus x hol. `Vegeta`,1975,20 - 30 cm,,,Klinkers,,Boombeheer,Noord,4.922181,52.412263
15280,_0_30,Ulmus `Lobel`,,0 - 20 cm,,,,,Boombeheer,Noord,4.922429,52.391405
15282,_0_30,Ulmus x hol. `Vegeta`,1975,20 - 30 cm,,,Klinkers,,Boombeheer,Noord,4.922242,52.412238
15284,_0_30,Ulmus `Lobel`,,0 - 20 cm,,,,,Boombeheer,Noord,4.922474,52.39147
15285,_0_30,Ulmus `Lobel`,,0 - 20 cm,,,,,Boombeheer,Noord,4.922487,52.391647
15287,_0_30,Ulmus,,0 - 20 cm,,,,,,Noord,4.92257,52.387359
15289,_0_30,Ulmus `Lobel`,,0 - 20 cm,,,,,Boombeheer,Noord,4.922537,52.391727
15290,_0_30,Ulmus `Lobel`,,0 - 20 cm,,,,,Boombeheer,Noord,4.922567,52.391591
15291,_0_30,Ulmus `Lobel`,,0 - 20 cm,,,,,Boombeheer,Noord,4.922605,52.391812
15292,_0_30,Ulmus `Lobel`,,0 - 20 cm,,,,,Boombeheer,Noord,4.922626,52.391679
15295,_0_30,Ulmus `Lobel`,,0 - 20 cm,,,,,Boombeheer,Noord,4.922653,52.391898
15297,_0_30,Ulmus `Lobel`,,0 - 20 cm,,,,,Boombeheer,Noord,4.922694,52.391754
15300,_0_30,Ulmus `Lobel`,,0 - 20 cm,,,,,Boombeheer,Noord,4.922724,52.391989
15303,_0_30,Ulmus `Lobel`,,0 - 20 cm,,,,,Boombeheer,Noord,4.922759,52.391839
15304,_0_30,Ulmus,,0 - 20 cm,,,,,,Noord,4.922822,52.389388
15306,_0_30,Ulmus `Lobel`,,0 - 20 cm,,,,,Boombeheer,Noord,4.922808,52.392107
15310,_0_30,Ulmus `Lobel`,,0 - 20 cm,,,,,Boombeheer,Noord,4.922829,52.391942
15311,_0_30,Ulmus glabra,1980,20 - 30 cm,,,Heesters,,Boombeheer,Noord,4.922753,52.40147
15312,_0_30,Ulmus glabra,1970,20 - 30 cm,,,Gras,,Boombeheer,Noord,4.922775,52.401473
15314,_0_30,Ulmus `Lobel`,,0 - 20 cm,,,,,Boombeheer,Noord,4.922883,52.392208
15315,_0_30,Ulmus glabra,1985,20 - 30 cm,,,Heesters,,Boombeheer,Noord,4.922791,52.401628
15316,_0_30,Ulmus `Lobel`,,0 - 20 cm,,,,,Boombeheer,Noord,4.922894,52.392035
15318,_0_30,Ulmus `Dodoens`,,0 - 20 cm,,,,,Boombeheer,Noord,4.92297,52.386995
15319,_0_30,Ulmus `Lobel`,,0 - 20 cm,,,,,Boombeheer,Noord,4.922948,52.3923
15321,_0_30,Ulmus `Lobel`,,0 - 20 cm,,,,,Boombeheer,Noord,4.922963,52.392142
15323,_0_30,Ulmus `Dodoens`,,0 - 20 cm,,,,,Boombeheer,Noord,4.923049,52.387073
15326,_0_30,Ulmus `Lobel`,,0 - 20 cm,,,,,Boombeheer,Noord,4.923028,52.392391
15327,_0_30,Ulmus `Lobel`,,0 - 20 cm,,,,,Boombeheer,Noord,4.923033,52.392248
15328,_0_30,Ulmus `Dodoens`,,0 - 20 cm,,,,,Boombeheer,Noord,4.923111,52.387135
15329,_0_30,Ulmus glabra,1990,20 - 30 cm,,,Heesters,,Boombeheer,Noord,4.92296,52.401722
15330,_0_30,Ulmus `Lobel`,,0 - 20 cm,,,,,Boombeheer,Noord,4.923073,52.392456
15331,_0_30,Ulmus,,0 - 20 cm,,,,,,Noord,4.9231,52.389876
15332,_0_30,Ulmus,,0 - 20 cm,,,,,,Noord,4.923102,52.389843
15333,_0_30,Ulmus,,0 - 20 cm,,,,,,Noord,4.923118,52.389832
15335,_0_30,Ulmus x hollandica,1985,20 - 30 cm,,,Heesters,,Boombeheer,Noord,4.922998,52.401796
15336,_0_30,Ulmus `Lobel`,,0 - 20 cm,,,,,Boombeheer,Noord,4.923107,52.39234
15338,_0_30,Ulmus `Lobel`,,0 - 20 cm,,,,,Boombeheer,Noord,4.923124,52.392521
15343,_0_30,Ulmus `Lobel`,,0 - 20 cm,,,,,Boombeheer,Noord,4.923167,52.392588
15345,_0_30,Ulmus `Lobel`,,0 - 20 cm,,,,,Boombeheer,Noord,4.923187,52.392426
15348,_0_30,Ulmus `Lobel`,,0 - 20 cm,,,,,Boombeheer,Noord,4.92322,52.392488
15350,_0_30,Ulmus `Lobel`,,0 - 20 cm,,,,,Boombeheer,Noord,4.923231,52.392668
15355,_0_30,Ulmus `Lobel`,,0 - 20 cm,,,,,Boombeheer,Noord,4.923272,52.392546
15357,_0_30,Ulmus hol. `Wredei`,,0 - 20 cm,,,,,Particulier,Noord,4.923144,52.40736
15361,_0_30,Ulmus `Lobel`,,0 - 20 cm,,,,,Boombeheer,Noord,4.923317,52.392615
15378,_0_30,Ulmus,,0 - 20 cm,,,,,,Noord,4.923575,52.388963
15379,_0_30,Ulmus glabra,1985,20 - 30 cm,,,Gras,,Boombeheer,Noord,4.923487,52.398545
15380,_0_30,Ulmus x hollandica,,0 - 20 cm,,,,,Boombeheer,Noord,4.923603,52.390397
15384,_0_30,Ulmus x hol. `Vegeta`,1980,20 - 30 cm,,,Klinkers,,Boombeheer,Noord,4.923533,52.400638
15396,_0_30,Ulmus,,0 - 20 cm,,,,,,Noord,4.923774,52.388641
15398,_0_30,Ulmus x hol. `Vegeta`,1980,20 - 30 cm,,,Klinkers,,Boombeheer,Noord,4.923666,52.400992
15401,_0_30,Ulmus x hol. `Vegeta`,1980,20 - 30 cm,,,Klinkers,,Boombeheer,Noord,4.92369,52.400803
15403,_0_30,Ulmus,,0 - 20 cm,,,,,,Noord,4.923835,52.389035
15404,_0_30,Ulmus x hol. `Vegeta`,1990,0 - 20 cm,,,Klinkers,,Boombeheer,Noord,4.923717,52.401036
15405,_0_30,Ulmus x hol. `Vegeta`,1980,20 - 30 cm,,,Klinkers,,Boombeheer,Noord,4.923732,52.400838
15409,_0_30,Ulmus x hol. `Vegeta`,1990,0 - 20 cm,,,Klinkers,,Boombeheer,Noord,4.923759,52.401076
15410,_0_30,Ulmus x hol. `Vegeta`,1980,20 - 30 cm,,,Klinkers,,Boombeheer,Noord,4.923781,52.400891
15411,_0_30,Ulmus x hol. `Vegeta`,1990,0 - 20 cm,,,Klinkers,,Boombeheer,Noord,4.923795,52.401117
15417,_0_30,Ulmus x hol. `Vegeta`,1990,0 - 20 cm,,,Klinkers,,Boombeheer,Noord,4.923879,52.400997
15422,_0_30,Ulmus x hol. `Vegeta`,1990,0 - 20 cm,,,Klinkers,,Boombeheer,Noord,4.923927,52.40105
15423,_0_30,Ulmus x hol. `Vegeta`,1990,0 - 20 cm,,,Klinkers,,Boombeheer,Noord,4.923938,52.401101
15427,_0_30,Ulmus `Dodoens`,2002,0 - 20 cm,,,Gras,,Boombeheer,Noord,4.923879,52.410233
15429,_0_30,Ulmus x hol. `Vegeta`,1990,0 - 20 cm,,,Klinkers,,Boombeheer,Noord,4.924004,52.401077
15434,_0_30,Ulmus x hollandica,1990,0 - 20 cm,,,Gras,,Boombeheer,Noord,4.924096,52.398356
15435,_0_30,Ulmus `Lobel`,1985,0 - 20 cm,,,Gras,,Boombeheer,Noord,4.924227,52.387293
15437,_0_30,Ulmus x hollandica,1990,0 - 20 cm,,,Gras,,Boombeheer,Noord,4.924125,52.398347
15444,_0_30,Ulmus `Lobel`,1990,0 - 20 cm,,,Tegels,,Boombeheer,Noord,4.924409,52.387467
15446,_0_30,Ulmus x hollandica,1990,20 - 30 cm,,,Gras,,Boombeheer,Noord,4.924336,52.398295
15448,_0_30,Ulmus x hollandica,1990,20 - 30 cm,,,Gras,,Boombeheer,Noord,4.924361,52.39828
15449,_0_30,Ulmus `Lobel`,1990,0 - 20 cm,,,Tegels,,Boombeheer,Noord,4.924508,52.387429
15452,_0_30,Ulmus x hollandica,1990,20 - 30 cm,,,Gras,,Boombeheer,Noord,4.924469,52.398246
15453,_0_30,Ulmus `Rebona`,,0 - 20 cm,,,,,Boombeheer,Noord,4.924547,52.39411
15454,_0_30,Ulmus,,0 - 20 cm,,,,,,Noord,4.924612,52.388887
15455,_0_30,Ulmus `New Horizon`,1970,0 - 20 cm,,,Gras,,Boombeheer,Noord,4.924574,52.394213
15456,_0_30,Ulmus `Lobel`,1990,0 - 20 cm,,,Tegels,,Boombeheer,Noord,4.924647,52.387376
15457,_0_30,Ulmus,,0 - 20 cm,,,,,,Noord,4.924597,52.393127
15459,_0_30,Ulmus `Lobel`,1990,0 - 20 cm,,,Tegels,,Boombeheer,Noord,4.924663,52.387219
15460,_0_30,Ulmus `Rebona`,1970,0 - 20 cm,,,Gras,,Boombeheer,Noord,4.924628,52.394253
15461,_0_30,Ulmus `Dodoens`,2009,0 - 20 cm,,,,,Boombeheer,Noord,4.924736,52.385173
15462,_0_30,Ulmus `New Horizon`,1970,0 - 20 cm,,,Gras,,Boombeheer,Noord,4.924659,52.39404
15466,_0_30,Ulmus `Lobel`,1990,0 - 20 cm,,,Tegels,,Boombeheer,Noord,4.924744,52.387326
15469,_0_30,Ulmus `Lobel`,1990,0 - 20 cm,,,Tegels,,Boombeheer,Noord,4.924836,52.387152
15472,_0_30,Ulmus `Lobel`,1990,0 - 20 cm,,,Tegels,,Boombeheer,Noord,4.924877,52.387259
15479,_0_30,Ulmus hol. `Wredei`,1980,20 - 30 cm,,,Heesters,,Boombeheer,Noord,4.924885,52.408256
15482,_0_30,Ulmus `Lobel`,1985,20 - 30 cm,,,Tegels,,Boombeheer,Noord,4.925194,52.384869
15486,_0_30,Ulmus glabra,,20 - 30 cm,,,,,Boombeheer,Noord,4.925018,52.40854
15490,_0_30,Ulmus `Lobel`,1985,20 - 30 cm,,,Tegels,,Boombeheer,Noord,4.925343,52.384851
15491,_0_30,Ulmus `Dodoens`,2006,0 - 20 cm,,,Gras,,Boombeheer,Noord,4.925335,52.387476
15492,_0_30,Ulmus `Lobel`,1985,0 - 20 cm,,,Klinkers,,Boombeheer,Noord,4.925493,52.38497
15493,_0_30,Ulmus `Lobel`,1985,20 - 30 cm,,,Klinkers,,Boombeheer,Noord,4.925479,52.386896
15494,_0_30,Ulmus `Lobel`,1985,0 - 20 cm,,,Klinkers,,Boombeheer,Noord,4.92548,52.386896
15495,_0_30,Ulmus `Lobel`,1985,20 - 30 cm,,,Tegels,,Boombeheer,Noord,4.925539,52.384776
15496,_0_30,Ulmus `Dodoens`,1940,0 - 20 cm,,,Gras,,Boombeheer,Noord,4.925512,52.387405
15498,_0_30,Ulmus `Lobel`,1985,20 - 30 cm,,,Gras,,Boombeheer,Noord,4.925579,52.384692
15502,_0_30,Ulmus `New Horizon`,,0 - 20 cm,,,,,Boombeheer,Noord,4.925505,52.395973
15503,_0_30,Ulmus `Lobel`,1985,0 - 20 cm,,,Klinkers,,Boombeheer,Noord,4.925624,52.385093
15505,_0_30,Ulmus `Lobel`,1985,0 - 20 cm,,,Klinkers,,Boombeheer,Noord,4.925651,52.384906
15507,_0_30,Ulmus `Lobel`,1985,20 - 30 cm,,,Klinkers,,Boombeheer,Noord,4.925687,52.386822
15509,_0_30,Ulmus `Rebona`,,0 - 20 cm,,,,,Boombeheer,Noord,4.925614,52.396063
15511,_0_30,Ulmus `Lobel`,1985,0 - 20 cm,,,Klinkers,,Boombeheer,Noord,4.925738,52.385218
15513,_0_30,Ulmus `Lobel`,1985,0 - 20 cm,,,Klinkers,,Boombeheer,Noord,4.925773,52.385028
15516,_0_30,Ulmus `New Horizon`,,0 - 20 cm,,,,,Boombeheer,Noord,4.925681,52.396126
15519,_0_30,Ulmus,,0 - 20 cm,,,,,,Noord,4.925764,52.394474
15520,_0_30,Ulmus `Lobel`,1985,0 - 20 cm,,,Tegels,,Boombeheer,Noord,4.925862,52.385337
15521,_0_30,Ulmus `Rebona`,,0 - 20 cm,,,,,Boombeheer,Noord,4.925771,52.396198
15524,_0_30,Ulmus `Lobel`,1985,0 - 20 cm,,,Tegels,,Boombeheer,Noord,4.92593,52.385175
15525,_0_30,Ulmus `Lobel`,1985,20 - 30 cm,,,Tegels,,Boombeheer,Noord,4.925928,52.386727
15526,_0_30,Ulmus `New Horizon`,,0 - 20 cm,,,,,Boombeheer,Noord,4.925856,52.396267
15528,_0_30,Ulmus `New Horizon`,,0 - 20 cm,,,,,Boombeheer,Noord,4.925885,52.396392
15529,_0_30,Ulmus `Lobel`,1985,0 - 20 cm,,,Tegels,,Boombeheer,Noord,4.926,52.385464
15531,_0_30,Ulmus `Lobel`,1985,20 - 30 cm,,,Tegels,,Boombeheer,Noord,4.926048,52.385291
15532,_0_30,Ulmus minor,1990,0 - 20 cm,,,Heesters,,Wijkbeheer,Noord,4.925787,52.4111
15533,_0_30,Ulmus `Rebona`,,0 - 20 cm,,,,,Boombeheer,Noord,4.925948,52.396324
15535,_0_30,Ulmus `Rebona`,,0 - 20 cm,,,,,Boombeheer,Noord,4.925973,52.396476
15536,_0_30,Ulmus,,0 - 20 cm,,,,,,Noord,4.92606,52.391454
15538,_0_30,Ulmus `New Horizon`,,0 - 20 cm,,,,,Boombeheer,Noord,4.92602,52.396404
15539,_0_30,Ulmus `Lobel`,1985,0 - 20 cm,,,Tegels,,Boombeheer,Noord,4.926132,52.385607
15540,_0_30,Ulmus `Lobel`,1985,20 - 30 cm,,,Klinkers,,Boombeheer,Noord,4.926152,52.385398
15543,_0_30,Ulmus `New Horizon`,,0 - 20 cm,,,,,Boombeheer,Noord,4.926066,52.396568
15545,_0_30,Ulmus x hollandica,,0 - 20 cm,,,,,Begraafplaatsen,Noord,4.925979,52.405509
15547,_0_30,Ulmus `Dodoens`,,0 - 20 cm,,,,,Boombeheer,Noord,4.926196,52.387142
15549,_0_30,Ulmus `Rebona`,,0 - 20 cm,,,,,Boombeheer,Noord,4.926116,52.396478
15551,_0_30,Ulmus `Lobel`,1985,0 - 20 cm,,,Klinkers,,Boombeheer,Noord,4.926247,52.385702
15552,_0_30,Ulmus `Rebona`,,0 - 20 cm,,,,,Boombeheer,Noord,4.926151,52.396642
15553,_0_30,Ulmus `Lobel`,1985,0 - 20 cm,,,Klinkers,,Boombeheer,Noord,4.926282,52.385518
15554,_0_30,Ulmus `New Horizon`,,0 - 20 cm,,,,,Boombeheer,Noord,4.926191,52.396543
15555,_0_30,Ulmus `New Horizon`,,0 - 20 cm,,,,,Boombeheer,Noord,4.926221,52.396719
15557,_0_30,Ulmus `Rebona`,,0 - 20 cm,,,,,Boombeheer,Noord,4.926266,52.396603
15558,_0_30,Ulmus `Lobel`,1985,0 - 20 cm,,,Klinkers,,Boombeheer,Noord,4.926407,52.385645
15559,_0_30,Ulmus `Rebona`,,0 - 20 cm,,,,,Boombeheer,Noord,4.926313,52.396794
15561,_0_30,Ulmus `New Horizon`,,0 - 20 cm,,,,,Boombeheer,Noord,4.926342,52.396666
15562,_0_30,Ulmus `Dodoens`,,0 - 20 cm,,,,,Boombeheer,Noord,4.926416,52.389943
15564,_0_30,Ulmus x hollandica,,0 - 20 cm,,,,,Boombeheer,Noord,4.926423,52.390159
15568,_0_30,Ulmus `New Horizon`,,0 - 20 cm,,,,,Boombeheer,Noord,4.92638,52.396855
15569,_0_30,Ulmus x hollandica,,0 - 20 cm,,,,,Boombeheer,Noord,4.926455,52.390146
15572,_0_30,Ulmus x hollandica,,20 - 30 cm,,,,,Begraafplaatsen,Noord,4.9263,52.406958
15573,_0_30,Ulmus `Lobel`,1985,0 - 20 cm,,,Klinkers,,Boombeheer,Noord,4.926529,52.385771
15574,_0_30,Ulmus x hollandica,,0 - 20 cm,,,,,Begraafplaatsen,Noord,4.92631,52.407123
15575,_0_30,Ulmus `Rebona`,,0 - 20 cm,,,,,Boombeheer,Noord,4.926421,52.396734
15576,_0_30,Ulmus x hollandica,,20 - 30 cm,,,,,Begraafplaatsen,Noord,4.926322,52.406692
15578,_0_30,Ulmus x hollandica,,0 - 20 cm,,,,,Boombeheer,Noord,4.9265,52.390129
15581,_0_30,Ulmus x hollandica,,0 - 20 cm,,,,,Boombeheer,Noord,4.926525,52.39014
15582,_0_30,Ulmus `Rebona`,,0 - 20 cm,,,,,Boombeheer,Noord,4.926469,52.396927
15583,_0_30,Ulmus x hollandica,,0 - 20 cm,,,,,Boombeheer,Noord,4.926542,52.390131
15585,_0_30,Ulmus `New Horizon`,,0 - 20 cm,,,,,Boombeheer,Noord,4.926481,52.396791
15586,_0_30,Ulmus,,0 - 20 cm,,,,,Particulier,Noord,4.926572,52.388692
15587,_0_30,Ulmus x hollandica,,20 - 30 cm,,,,,Begraafplaatsen,Noord,4.926393,52.40675
15588,_0_30,Ulmus `Plantijn`,2009,0 - 20 cm,,,,,Boombeheer,Noord,4.92657,52.390025
15591,_0_30,Ulmus `Lobel`,1985,0 - 20 cm,,,Klinkers,,Boombeheer,Noord,4.926626,52.386072
15592,_0_30,Ulmus x hollandica,,20 - 30 cm,,,,,Begraafplaatsen,Noord,4.926426,52.406741
15593,_0_30,Ulmus `Lobel`,1985,0 - 20 cm,,,Tegels,,Boombeheer,Noord,4.926657,52.385894
15594,_0_30,Ulmus `Rebona`,,0 - 20 cm,,,,,Boombeheer,Noord,4.926545,52.396843
15599,_0_30,Ulmus `Lobel`,1985,0 - 20 cm,,,Tegels,,Boombeheer,Noord,4.926691,52.386418
15600,_0_30,Ulmus `Plantijn`,2009,0 - 20 cm,,,,,Boombeheer,Noord,4.92666,52.389993
15603,_0_30,Ulmus,,0 - 20 cm,,,,,Particulier,Noord,4.926713,52.388552
15604,_0_30,Ulmus `Lobel`,1985,0 - 20 cm,,,Tegels,,Boombeheer,Noord,4.926761,52.386214
15606,_0_30,Ulmus x hollandica,,0 - 20 cm,,,,,Boombeheer,Noord,4.926733,52.390159
15608,_0_30,Ulmus `Lobel`,1985,0 - 20 cm,,,Tegels,,Boombeheer,Noord,4.926792,52.386011
15611,_0_30,Ulmus `Lobel`,1985,0 - 20 cm,,,Tegels,,Boombeheer,Noord,4.926808,52.38632
15612,_0_30,Ulmus glabra,,20 - 30 cm,,,,,Begraafplaatsen,Noord,4.926609,52.407653
15613,_0_30,Ulmus glabra,,0 - 20 cm,,,,,Begraafplaatsen,Noord,4.926614,52.407432
15614,_0_30,Ulmus glabra,,20 - 30 cm,,,,,Begraafplaatsen,Noord,4.92662,52.407667
15619,_0_30,Ulmus glabra,,20 - 30 cm,,,,,Begraafplaatsen,Noord,4.92665,52.407677
15620,_0_30,Ulmus glabra,,20 - 30 cm,,,,,Begraafplaatsen,Noord,4.926652,52.407692
15623,_0_30,Ulmus `Lobel`,1985,0 - 20 cm,,,Klinkers,,Boombeheer,Noord,4.926923,52.386144
15625,_0_30,Ulmus glabra `Exoniensis`,1985,20 - 30 cm,,,Gras,,Boombeheer,Noord,4.92684,52.394955
15629,_0_30,Ulmus `Dodoens`,2009,0 - 20 cm,,,Heesters,,Boombeheer,Noord,4.926934,52.389037
